DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19950720,52218.7500,53437.5000,52125.0000,53325.0000,9494,17872,0,0,0.0000
19950721,54000.0000,56062.5000,54000.0000,55612.5000,12761,16474,0,0,0.0000
19950724,54862.5000,55500.0000,54618.7500,55012.5000,4702,16267,0,0,0.0000
19950725,54187.5000,56062.5000,53868.7500,55256.2500,7931,16147,0,0,0.0000
19950726,56625.0000,57300.0000,56437.5000,57112.5000,9396,15806,0,0,0.0000
19950727,56568.7500,56718.7500,55256.2500,55350.0000,8846,15072,0,0,0.0000
19950728,54375.0000,55087.5000,53625.0000,53737.5000,7655,14844,0,0,0.0000
19950731,52968.7500,54750.0000,51562.5000,54637.5000,7749,14373,0,0,0.0000
19950801,54750.0000,54937.5000,52631.2500,53250.0000,7832,14180,0,0,0.0000
19950802,52875.0000,55218.7500,52875.0000,54150.0000,8916,13902,0,0,0.0000
19950803,54337.5000,54712.5000,53868.7500,54281.2500,6774,13150,0,0,0.0000
19950804,53700.0000,54468.7500,52687.5000,54056.2500,6369,11148,0,0,0.0000
19950807,53287.5000,54750.0000,52875.0000,53906.2500,4887,11906,0,0,0.0000
19950808,53437.5000,54562.5000,53175.0000,54468.7500,5816,11628,0,0,0.0000
19950809,54562.5000,54937.5000,54150.0000,54281.2500,5643,11422,0,0,0.0000
19950810,54300.0000,55500.0000,54300.0000,55125.0000,6022,11159,199512,199512,0.0000
19950811,54468.7500,54731.2500,54000.0000,54487.5000,4930,9611,0,0,-562.5000
19950814,54375.0000,54562.5000,54056.2500,54131.2500,3467,9855,0,0,0.0000
19950815,53718.7500,54675.0000,53625.0000,54543.7500,6588,10572,0,0,0.0000
19950816,55125.0000,55256.2500,54412.5000,54881.2500,7392,11082,0,0,0.0000
19950817,54618.7500,55087.5000,54225.0000,54300.0000,6866,11937,0,0,0.0000
19950818,53906.2500,54450.0000,53812.5000,53981.2500,7067,12596,0,0,0.0000
19950821,53812.5000,55687.5000,53812.5000,55387.5000,9761,14415,0,0,0.0000
19950822,55312.5000,57168.7500,55143.7500,56868.7500,15858,15207,0,0,0.0000
19950823,56775.0000,57600.0000,56568.7500,57468.7500,7104,15775,0,0,0.0000
19950824,57187.5000,57468.7500,56550.0000,56943.7500,3929,15878,0,0,0.0000
19950825,56831.2500,58875.0000,56756.2500,58443.7500,8644,17219,0,0,0.0000
19950828,58537.5000,59006.2500,58312.5000,58425.0000,4069,17458,0,0,0.0000
19950829,58612.5000,58762.5000,57600.0000,58012.5000,6262,17620,0,0,0.0000
19950830,57693.7500,58087.5000,55125.0000,55575.0000,10261,16615,0,0,0.0000
19950831,55781.2500,56325.0000,55181.2500,55312.5000,6619,16588,0,0,0.0000
19950901,54750.0000,56962.5000,54750.0000,56681.2500,6595,16428,0,0,0.0000
19950905,56156.2500,56531.2500,55312.5000,55912.5000,3652,16909,0,0,0.0000
19950906,55912.5000,56062.5000,54375.0000,54600.0000,5944,17350,0,0,0.0000
19950907,53737.5000,54187.5000,52106.2500,52406.2500,12605,17299,0,0,0.0000
19950908,52125.0000,53025.0000,50625.0000,51318.7500,11056,17044,0,0,0.0000
19950911,51037.5000,51637.5000,50100.0000,50175.0000,6977,16944,0,0,0.0000
19950912,48843.7500,49500.0000,47250.0000,47681.2500,11908,17031,0,0,0.0000
19950913,47437.5000,48937.5000,46950.0000,47625.0000,9866,17618,0,0,0.0000
19950914,47718.7500,48600.0000,47250.0000,48318.7500,6956,17388,0,0,0.0000
19950915,48675.0000,49125.0000,48412.5000,48656.2500,6578,17589,0,0,0.0000
19950918,49125.0000,49987.5000,46500.0000,46575.0000,9218,18027,0,0,0.0000
19950919,44812.5000,45281.2500,43875.0000,44643.7500,11057,18864,0,0,0.0000
19950920,45375.0000,46462.5000,43968.7500,46068.7500,10868,19058,0,0,0.0000
19950921,46875.0000,48000.0000,46425.0000,47887.5000,8242,19105,0,0,0.0000
19950922,47812.5000,48093.7500,46912.5000,47100.0000,4819,19011,0,0,0.0000
19950925,45787.5000,46218.7500,43350.0000,43537.5000,7850,19024,0,0,0.0000
19950926,42562.5000,45337.5000,42431.2500,44925.0000,9069,19143,0,0,0.0000
19950927,44718.7500,45000.0000,42506.2500,43200.0000,7945,18904,0,0,0.0000
19950928,42487.5000,44137.5000,42487.5000,43218.7500,6682,18679,0,0,0.0000
19950929,44062.5000,44437.5000,43593.7500,43968.7500,7450,18021,0,0,0.0000
19951002,45000.0000,46200.0000,44812.5000,45675.0000,8858,17791,0,0,0.0000
19951003,44812.5000,45825.0000,44475.0000,45675.0000,6904,16780,0,0,0.0000
19951004,46031.2500,46631.2500,45600.0000,46181.2500,5522,16818,0,0,0.0000
